graph,order,size,time,iterations,error,technique,damping
"italy_osm","6686493","14027956","1257.074","21","0.019535","pagerankLevelwiseSeq","0.6"
"italy_osm","6686493","14027956","1310.177","18","0.022803","pagerankMonolithicSeq","0.55"
"italy_osm","6686493","14027956","1075.155","18","0.022803","pagerankLevelwiseSeq","0.55"
"italy_osm","6686493","14027956","1154.736","16","0.026168","pagerankMonolithicSeq","0.5"
"italy_osm","6686493","14027956","967.68","16","0.026168","pagerankLevelwiseSeq","0.5"
"great-britain_osm","7733822","16313034","7081.141","67","0","pagerankMonolithicSeq","0"
"great-britain_osm","7733822","16313034","52923.207","500","0.06255","pagerankMonolithicSeq","1"
"great-britain_osm","7733822","16313034","41387.391","500","0.06255","pagerankLevelwiseSeq","1"
"great-britain_osm","7733822","16313034","21480.895","204","0.024863","pagerankMonolithicSeq","0.95"
"great-britain_osm","7733822","16313034","16921.887","204","0.024863","pagerankLevelwiseSeq","0.95"
"great-britain_osm","7733822","16313034","10621.648","101","0.010473","pagerankMonolithicSeq","0.9"
"great-britain_osm","7733822","16313034","8369.201","101","0.010473","pagerankLevelwiseSeq","0.9"
"great-britain_osm","7733822","16313034","7046.91","67","1.4258e-7","pagerankMonolithicSeq","0.85"
"great-britain_osm","7733822","16313034","5587.226","67","1.4258e-7","pagerankLevelwiseSeq","0.85"
"great-britain_osm","7733822","16313034","5178.665","49","0.0087746","pagerankMonolithicSeq","0.8"
"great-britain_osm","7733822","16313034","4080.797","49","0.0087746","pagerankLevelwiseSeq","0.8"
"great-britain_osm","7733822","16313034","4117.256","39","0.016636","pagerankMonolithicSeq","0.75"
"great-britain_osm","7733822","16313034","3238.924","39","0.016636","pagerankLevelwiseSeq","0.75"
"great-britain_osm","7733822","16313034","3386.828","32","0.023751","pagerankMonolithicSeq","0.7"
"great-britain_osm","7733822","16313034","2665.019","32","0.023751","pagerankLevelwiseSeq","0.7"
"great-britain_osm","7733822","16313034","2759.122","26","0.030752","pagerankMonolithicSeq","0.65"
"great-britain_osm","7733822","16313034","2163.228","26","0.030752","pagerankLevelwiseSeq","0.65"
"great-britain_osm","7733822","16313034","2327.833","22","0.03724","pagerankMonolithicSeq","0.6"
"great-britain_osm","7733822","16313034","1833.329","22","0.03724","pagerankLevelwiseSeq","0.6"
"great-britain_osm","7733822","16313034","2005.388","19","0.043633","pagerankMonolithicSeq","0.55"
"great-britain_osm","7733822","16313034","1594.399","19","0.043633","pagerankLevelwiseSeq","0.55"
"great-britain_osm","7733822","16313034","1801.121","17","0.050357","pagerankMonolithicSeq","0.5"
"great-britain_osm","7733822","16313034","1421.489","17","0.050357","pagerankLevelwiseSeq","0.5"
"germany_osm","11548845","24738362","11172.942","65","0","pagerankMonolithicSeq","0"
"germany_osm","11548845","24738362","85694.609","500","0.059384","pagerankMonolithicSeq","1"
"germany_osm","11548845","24738362","61467.52","500","0.059384","pagerankLevelwiseSeq","1"
"germany_osm","11548845","24738362","33888.656","196","0.022661","pagerankMonolithicSeq","0.95"
"germany_osm","11548845","24738362","24141.012","196","0.022661","pagerankLevelwiseSeq","0.95"
"germany_osm","11548845","24738362","16997.35","98","0.0095928","pagerankMonolithicSeq","0.9"
"germany_osm","11548845","24738362","12110.205","98","0.0095928","pagerankLevelwiseSeq","0.9"
"germany_osm","11548845","24738362","12774.721","65","2.17e-7","pagerankMonolithicSeq","0.85"
"germany_osm","11548845","24738362","9122.362","65","2.17e-7","pagerankLevelwiseSeq","0.85"
"germany_osm","11548845","24738362","11204.801","48","0.0080861","pagerankMonolithicSeq","0.8"
"germany_osm","11548845","24738362","6747.908","48","0.0080861","pagerankLevelwiseSeq","0.8"
"germany_osm","11548845","24738362","8858.175","38","0.015254","pagerankMonolithicSeq","0.75"
"germany_osm","11548845","24738362","5325.589","38","0.015254","pagerankLevelwiseSeq","0.75"
"germany_osm","11548845","24738362","7284.345","31","0.021828","pagerankMonolithicSeq","0.7"
"germany_osm","11548845","24738362","4358.011","31","0.021828","pagerankLevelwiseSeq","0.7"
"germany_osm","11548845","24738362","6101.312","26","0.028302","pagerankMonolithicSeq","0.65"
"germany_osm","11548845","24738362","3646.4","26","0.028302","pagerankLevelwiseSeq","0.65"
"germany_osm","11548845","24738362","5115.279","22","0.034515","pagerankMonolithicSeq","0.6"
"germany_osm","11548845","24738362","3074.038","22","0.034515","pagerankLevelwiseSeq","0.6"
"germany_osm","11548845","24738362","4419.371","19","0.040227","pagerankMonolithicSeq","0.55"
"germany_osm","11548845","24738362","2659.831","19","0.040227","pagerankLevelwiseSeq","0.55"
"germany_osm","11548845","24738362","3915.969","17","0.046305","pagerankMonolithicSeq","0.5"
"germany_osm","11548845","24738362","2381.009","17","0.046305","pagerankLevelwiseSeq","0.5"
"asia_osm","11950757","25423206","10771.114","63","0","pagerankMonolithicSeq","0"
"asia_osm","11950757","25423206","84616.922","500","0.045465","pagerankMonolithicSeq","1"
"asia_osm","11950757","25423206","61449.707","500","0.045465","pagerankLevelwiseSeq","1"
"asia_osm","11950757","25423206","32252.553","189","0.016162","pagerankMonolithicSeq","0.95"
"asia_osm","11950757","25423206","23705.832","189","0.016162","pagerankLevelwiseSeq","0.95"
"asia_osm","11950757","25423206","16272.099","95","0.0067334","pagerankMonolithicSeq","0.9"
"asia_osm","11950757","25423206","11703.877","95","0.0067334","pagerankLevelwiseSeq","0.9"
"asia_osm","11950757","25423206","10755.518","63","1.6744e-7","pagerankMonolithicSeq","0.85"
"asia_osm","11950757","25423206","7785.396","63","1.6744e-7","pagerankLevelwiseSeq","0.85"
"asia_osm","11950757","25423206","7918.03","46","0.0055209","pagerankMonolithicSeq","0.8"
"asia_osm","11950757","25423206","5696.481","46","0.0055209","pagerankLevelwiseSeq","0.8"
"asia_osm","11950757","25423206","6151.991","36","0.010363","pagerankMonolithicSeq","0.75"
"asia_osm","11950757","25423206","4431.529","36","0.010363","pagerankLevelwiseSeq","0.75"
"asia_osm","11950757","25423206","5137.085","30","0.014879","pagerankMonolithicSeq","0.7"
"asia_osm","11950757","25423206","3706.945","30","0.014879","pagerankLevelwiseSeq","0.7"
"asia_osm","11950757","25423206","3933.812","25","0.01903","pagerankMonolithicSeq","0.65"
"asia_osm","11950757","25423206","2710.592","25","0.01903","pagerankLevelwiseSeq","0.65"
"asia_osm","11950757","25423206","2783.722","21","0.022939","pagerankMonolithicSeq","0.6"
"asia_osm","11950757","25423206","2279.513","21","0.022939","pagerankLevelwiseSeq","0.6"
"asia_osm","11950757","25423206","2399.081","18","0.027006","pagerankMonolithicSeq","0.55"
"asia_osm","11950757","25423206","1959.359","18","0.027006","pagerankLevelwiseSeq","0.55"
"asia_osm","11950757","25423206","2125.02","16","0.030875","pagerankMonolithicSeq","0.5"
"asia_osm","11950757","25423206","1739.209","16","0.030875","pagerankLevelwiseSeq","0.5"
